institution,period,table_type,table_title,section_no,line_no,row_lvl1,row_lvl2,row_lvl3,row_lvl4,row_lvl5,row_depth,col_lvl1,col_lvl2,col_depth,value_num,value_raw,cell_state,is_shade,colspan,concept_key,geo_key,row_header_id,col_header_id,doc_id,table_id,row_id,col_id,row_hierarchy
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,17,RSF Item,Performing loans and securities:,,,,2,Unweighted value by residual maturity,No Maturity,2,16437.0,"16,437",reported,0,1,rsf_perf,,19,1,dbs_4q23_p3,nsfr_dec23,19,1,1
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,17,RSF Item,Performing loans and securities:,,,,2,Unweighted value by residual maturity,< 6 months,2,212896.0,"212,896",reported,0,1,rsf_perf,,19,2,dbs_4q23_p3,nsfr_dec23,19,2,1
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,17,RSF Item,Performing loans and securities:,,,,2,Unweighted value by residual maturity,6 months to <1 yr,2,42972.0,"42,972",reported,0,1,rsf_perf,,19,3,dbs_4q23_p3,nsfr_dec23,19,3,1
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,17,RSF Item,Performing loans and securities:,,,,2,Unweighted value by residual maturity,≥ 1yr,2,287142.0,"287,142",reported,0,1,rsf_perf,,19,4,dbs_4q23_p3,nsfr_dec23,19,4,1
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,17,RSF Item,Performing loans and securities:,,,,2,Weighted value,,1,331130.0,"331,130",reported,0,1,rsf_perf,,19,5,dbs_4q23_p3,nsfr_dec23,19,5,1
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,18,RSF Item,Performing loans and securities:,Performing loans to financial institutions secured by Level 1 HQLA,,,3,Unweighted value by residual maturity,No Maturity,2,,-,null,0,1,,,20,1,dbs_4q23_p3,nsfr_dec23,20,1,2
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,18,RSF Item,Performing loans and securities:,Performing loans to financial institutions secured by Level 1 HQLA,,,3,Unweighted value by residual maturity,< 6 months,2,18391.0,"18,391",reported,0,1,,,20,2,dbs_4q23_p3,nsfr_dec23,20,2,2
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,18,RSF Item,Performing loans and securities:,Performing loans to financial institutions secured by Level 1 HQLA,,,3,Unweighted value by residual maturity,6 months to <1 yr,2,787.0,787,reported,0,1,,,20,3,dbs_4q23_p3,nsfr_dec23,20,3,2
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,18,RSF Item,Performing loans and securities:,Performing loans to financial institutions secured by Level 1 HQLA,,,3,Unweighted value by residual maturity,≥ 1yr,2,531.0,531,reported,0,1,,,20,4,dbs_4q23_p3,nsfr_dec23,20,4,2
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,18,RSF Item,Performing loans and securities:,Performing loans to financial institutions secured by Level 1 HQLA,,,3,Weighted value,,1,2764.0,"2,764",reported,0,1,,,20,5,dbs_4q23_p3,nsfr_dec23,20,5,2
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,19,RSF Item,Performing loans and securities:,Performing loans to financial institutions secured by non-Level 1 HQLA and unsecured performing loans to financial institutions,,,3,Unweighted value by residual maturity,No Maturity,2,8783.0,"8,783",reported,0,1,,,21,1,dbs_4q23_p3,nsfr_dec23,21,1,2
DBS Group Holdings Ltd,2023-12-31,nsfr,NSFR Disclosure Template,1.1,19,RSF Item,Performing loans and securities:,Performing loans to financial institutions secured by non-Level 1 HQLA and unsecured performing loans to financial institutions,,,3,Unweighted value by residual maturity,< 6 months,2,27408.0,"27,408",reported,0,1,,,21,2,dbs_4q23_p3,nsfr_dec23,21,2,2
