check,detail
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage3_sp 2024-06-30: as_at=-1422 vs 2Q=154 (ratio=0.11, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage12_gp 2025-06-30: as_at=-2861 vs 1H=167 (ratio=0.058, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage12_gp 2025-06-30: as_at=-2861 vs 1H=155 (ratio=0.054, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage12_gp 2025-06-30: as_at=-2861 vs 1H=-167 (ratio=0.058, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage12_gp 2025-06-30: as_at=-2861 vs 1H=155 (ratio=0.054, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage12_gp 2025-06-30: as_at=-2861 vs 1H=167 (ratio=0.058, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage12_gp 2025-06-30: as_at=-2861 vs 2Q=49 (ratio=0.017, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage12_gp 2025-06-30: as_at=-2861 vs 2Q=-49 (ratio=0.017, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage12_gp 2025-06-30: as_at=-2861 vs 2Q=49 (ratio=0.017, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage12_gp 2025-06-30: as_at=-2861 vs NULL=-58 (ratio=0.02, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage12_gp 2024-06-30: as_at=-2581 vs 1H=-21 (ratio=0.0081, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage12_gp 2024-06-30: as_at=-2581 vs 1H=-27 (ratio=0.01, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage12_gp 2024-06-30: as_at=-2581 vs 1H=21 (ratio=0.0081, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage12_gp 2024-06-30: as_at=-2581 vs 1H=-27 (ratio=0.01, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage12_gp 2024-06-30: as_at=-2581 vs 1H=-21 (ratio=0.0081, seg=SEG_TOTAL, geo=GLOBAL)"
as_at_magnitude,"Oversea-Chinese Banking Corpor pnl.provisions.stage12_gp 2024-06-30: as_at=-2581 vs 2Q=-10 (ratio=0.0039, seg=SEG_TOTAL, geo=GLOBAL)"
